clueId,suspectId,time,summary
艾拉 - 2,SUSPECT_JIESI,1:05:00,艾拉与科尔密谋杀害沃克，随后艾拉送走科尔
,,2:05:00,
艾拉 - 3 - B,SUSPECT_JIESI,3:05:00,艾拉收到信息，有人想要购买病毒，艾拉约买家到大卡座 - A交易
,,4:05:00,
艾拉 - 4 - B,SUSPECT_JIESI,5:05:00,艾拉遇见前来侍酒的杰斯
,,6:05:00,
艾拉 - 5 - C,SUSPECT_JIESI,7:05:00,送走杰斯，艾拉得知法拉第笼存在漏洞
,,8:05:00,
艾拉 - 6,SUSPECT_JIESI,9:05:00,前来购买病毒的是松野贤司
,,10:05:00,
艾拉 - 7 - B,SUSPECT_JIESI,11:05:00,完成与松野贤司的交易后，艾拉在大卡座 - A等待科尔
,,12:05:00,
艾拉 - 8,SUSPECT_JIESI,13:05:00,艾拉与科尔对话
,,14:05:00,
艾拉 - 9,SUSPECT_JIESI,15:05:00,艾拉决定前往贤司处问询，科尔则前往调查机房数据
,,16:05:00,
艾拉 - 10,SUSPECT_JIESI,17:05:00,艾拉前往VIP室门口与贤司对话
,,18:05:00,
艾拉 - 11,SUSPECT_JIESI,19:05:00,贤司矢口否认艾拉称其意图谋杀沃克的指控，但是暗示艾拉去找杰斯和凯。艾动身回到大卡座 - A
,,20:05:00,
艾拉 - 12,SUSPECT_JIESI,21:05:00,艾拉与科尔对话
,,22:05:00,
艾拉 - 13,SUSPECT_JIESI,23:05:00,两人决定前往杰斯处打探消息
,,0:05:00,
艾拉 - 14,SUSPECT_JIESI,1:05:00,两人意外偷听见杰斯与凯之间的对话
,,2:05:00,
艾拉 - 15,SUSPECT_JIESI,3:05:00,两人得知通道的存在，艾拉决定跟踪凯进行调查
,,4:05:00,
艾拉 - 16,SUSPECT_JIESI,5:05:00,艾拉一路尾随凯，发现凯无法从维修通道进入VIP室，等待凯从通道内离开，艾拉潜入通道内进行调查
,,6:05:00,
艾拉 - 17,SUSPECT_JIESI,7:05:00,艾拉从入口钻入VIP室，并尝试用AI病毒黑入法拉第笼
,,8:05:00,
艾拉 - 18,SUSPECT_JIESI,9:05:00,艾拉发现黑入法拉第笼需要攻击程序和一串密钥，仅凭病毒无法击破法拉第笼的防御
,,10:05:00,
艾拉 - 19,SUSPECT_JIESI,11:05:00,艾拉动身前往大卡座 - A
,,12:05:00,
艾拉 - 20,SUSPECT_JIESI,13:05:00,艾拉与科尔对话，得知凯也与沃克有个人恩怨
,,14:05:00,
艾拉 - 21,SUSPECT_JIESI,15:05:00,主角前往诊所寻找工具，艾拉则前往凯处，与其在吧台对话
,,16:05:00,
艾拉 - 22,SUSPECT_JIESI,17:05:00,凯与艾拉交换彼此的故事。科尔的行踪暴露，但凯选择不声张，并嘱咐艾拉让科尔带上诊所里的储存器。随后艾拉动身回到大卡座 - A
,,18:05:00,
艾拉 - 23,SUSPECT_JIESI,19:05:00,艾拉与科尔对话
,,20:05:00,
艾拉 - 24,SUSPECT_JIESI,21:05:00,两人决定动手谋杀沃克，艾拉前去法拉第笼进行布设准备
,,22:05:00,
艾拉 - 25,SUSPECT_JIESI,23:05:00,艾拉为法拉第笼注入病毒与攻击程序
,,0:05:00,
艾拉 - 26,SUSPECT_JIESI,1:05:00,艾拉动身离开VIP室，前往诊室
,,2:05:00,
艾拉 - 27,SUSPECT_JIESI,3:05:00,艾拉与主角在诊所见面
,,4:05:00,
艾拉 - 28,SUSPECT_JIESI,5:05:00,两人启动攻击程序，杀死沃克
,,6:05:00,
贤司 - 1,SUSPECT_JIESI,7:05:00,贤司正在VIP室门前看守
,,8:05:00,
贤司 - 2,SUSPECT_JIESI,9:05:00,贤司接到一通电话，貌似与杀死某人有关
,,10:05:00,
贤司 - 3,SUSPECT_JIESI,11:05:00,贤司向某人发去消息，随后离开VIP室门口
,,12:05:00,
艾拉 - 3 - A,SUSPECT_JIESI,13:05:00,
,,14:05:00,
贤司 - 4,SUSPECT_JIESI,15:05:00,贤司来到墙边，偶然听见有人在讨论沃克的到来与法拉第笼的缺陷
,,16:05:00,
贤司 - 9,SUSPECT_JIESI,17:05:00,贤司继续在VIP室门前看守
,,18:05:00,
贤司 - 10,SUSPECT_JIESI,19:05:00,艾拉前来与贤司对话
,,20:05:00,
贤司 - 11,SUSPECT_JIESI,21:05:00,艾拉声称贤司想要谋害沃克，贤司让她去找杰斯和凯
,,22:05:00,
贤司 - 12,SUSPECT_JIESI,23:05:00,凯想要进入VIP室，遭到贤司阻拦
,,0:05:00,
贤司 - 13,SUSPECT_JIESI,1:05:00,凯与贤司的对话被凯收到的消息打断
,,2:05:00,
贤司 - 14,SUSPECT_JIESI,3:05:00,凯声称病毒是贤司投放，并表示愿与贤司一起谋杀沃克
,,4:05:00,
贤司 - 15,SUSPECT_JIESI,5:05:00,站岗过程中，贤司的X光设备注意到后勤通道附近貌似有人在穿越某种暗道。
,,6:05:00,
贤司 - 16,SUSPECT_JIESI,7:05:00,贤司动身前往义体诊所
,,8:05:00,
贤司 - 17,SUSPECT_JIESI,9:05:00,贤司在义体诊所附内调查
,,10:05:00,
贤司 - 18,SUSPECT_JIESI,11:05:00,贤司发现了一个储存器，扫描了其中的内容，并与之进行了某种交互
,,12:05:00,
贤司 - 19,SUSPECT_JIESI,13:05:00,贤司回到VIP室正门继续看守
,,14:05:00,
贤司 - 20,SUSPECT_JIESI,15:05:00,贤司的X光设备再次注意到通道内的异常
,,16:05:00,
贤司 - 21,SUSPECT_JIESI,17:05:00,贤司隐隐听见VIP室内的异响
,,18:05:00,
贤司 - 22,SUSPECT_JIESI,19:05:00,贤司进入VIP室检查沃克的情况，破坏了第一现场的环境
,,20:05:00,
贤司 - 23,SUSPECT_JIESI,21:05:00,贤司报告了尸体
